Subject Area,Mapping Name,Component Type,Component Name,Port Name,Data Type,Unused/Unconnected Mapping,Precision,Scale,Column Sequence No,Input,Output,Group Name,Variable,Lookup,Return Value,Group Filter Condition,Sort Key,Direction,Expression,Group By,Sequence,Master,Default Value,Target Load Plan,Description,Target Key Type,Target Not Null
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,KEY_FIELD,string,NO,9,0,,,,,YES,,,,,,"SUBSTR(DATA, 1, 9)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,NONKEY_FIELD,string,NO,9,0,,,,,YES,,,,,,"SUBSTR(DATA, 10, 9)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,KEY_FIELD1,string,NO,26,0,,,,,YES,,,,,,"SUBSTR(DATA, 19, 26)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,NONKEY_FIELD1,string,NO,358,0,,,,,YES,,,,,,"SUBSTR(DATA, 45, 358)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,KEY_FIELD2,string,NO,12,0,,,,,YES,,,,,,"SUBSTR(DATA, 403, 12)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,NONKEY_FIELD2,string,NO,411,0,,,,,YES,,,,,,"SUBSTR(DATA, 415, 411)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,KEY_FIELD_O,string,NO,47,0,,,YES,,,,,,,,"CONCAT(CONCAT(KEY_FIELD,KEY_FIELD1),KEY_FIELD2)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,NONKEY_FIELD_O,string,NO,778,0,,,YES,,,,,,,,"CONCAT(CONCAT(NONKEY_FIELD,NONKEY_FIELD1),NONKEY_FIELD2)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Filter,FIL_tstcall_trk,KEY_FIELD_FIRST,string,NO,9,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Filter,FIL_tstcall_trk,NONKEY_FIELD_FIRST,string,NO,9,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Filter,FIL_tstcall_trk,KEY_FIELD_SECOND,string,NO,26,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Filter,FIL_tstcall_trk,NONKEY_FIELD_SECOND,string,NO,358,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Filter,FIL_tstcall_trk,KEY_FIELD_THIRD,string,NO,12,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Filter,FIL_tstcall_trk,NONKEY_FIELD_THIRD,string,NO,411,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Filter,FIL_tstcall_trk,DTL_ACTION,string,NO,1,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Qualifier,SQ_tstcall_trk_CURR,DATA,string,NO,826,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,DATA,string,NO,826,0,,YES,,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,KEY_FIELD,string,NO,9,0,,,,,YES,,,,,,"SUBSTR(DATA, 1, 9)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,NONKEY_FIELD,string,NO,9,0,,,,,YES,,,,,,"SUBSTR(DATA, 10, 9)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,KEY_FIELD1,string,NO,26,0,,,,,YES,,,,,,"SUBSTR(DATA, 19, 26)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,NONKEY_FIELD1,string,NO,358,0,,,,,YES,,,,,,"SUBSTR(DATA, 45, 358)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,KEY_FIELD2,string,NO,12,0,,,,,YES,,,,,,"SUBSTR(DATA, 403, 12)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,NONKEY_FIELD2,string,NO,411,0,,,,,YES,,,,,,"SUBSTR(DATA, 415, 411)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,KEY_FIELD_O,string,NO,47,0,,,YES,,,,,,,,"CONCAT(CONCAT(KEY_FIELD,KEY_FIELD1),KEY_FIELD2)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_CURR,NONKEY_FIELD_O,string,NO,778,0,,,YES,,,,,,,,"CONCAT(CONCAT(NONKEY_FIELD,NONKEY_FIELD1),NONKEY_FIELD2)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Qualifier,SQ_tstcall_trk_PREV,DATA,string,NO,826,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Sorter,SRT_tstcall_trk_PREV,KEY_FIELD_O,string,NO,47,0,,YES,YES,,,,,,YES,ASCENDING,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Sorter,SRT_tstcall_trk_PREV,NONKEY_FIELD_O,string,NO,778,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Sorter,SRT_tstcall_trk_CURR,KEY_FIELD_O,string,NO,47,0,,YES,YES,,,,,,YES,ASCENDING,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Sorter,SRT_tstcall_trk_CURR,NONKEY_FIELD_O,string,NO,778,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,KEY_FIELD_PREV,string,NO,47,0,,YES,,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,NONKEY_FIELD_PREV,string,NO,778,0,,YES,,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,KEY_FIELD_CURR,string,NO,47,0,,YES,,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,NONKEY_FIELD_CURR,string,NO,778,0,,YES,,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,v_calr_id,decimal,NO,9,0,,,,,YES,,,,,,"TO_INTEGER(SUBSTR(KEY_FIELD_PREV,1,9))",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,v_call_dt,date/time,NO,29,9,,,,,YES,,,,,,"TO_DATE(SUBSTR(KEY_FIELD_PREV,10,26),'MM/DD/YYYY HH24:MI:SS.US')",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,var_DTL_ACTION,string,NO,1,0,,,,,YES,,,,,,"DECODE(true,_x000D_
KEY_FIELD_PREV = KEY_FIELD_CURR AND MD5(NONKEY_FIELD_PREV) = MD5(NONKEY_FIELD_CURR),'',_x000D_
ISNULL(KEY_FIELD_PREV)  AND (NOT ISNULL(KEY_FIELD_CURR)),'I',_x000D_
(NOT ISNULL(KEY_FIELD_PREV))  AND (NOT ISNULL(KEY_FIELD_CURR)) AND KEY_FIELD_PREV = KEY_FIELD_CURR AND MD5(NONKEY_FIELD_PREV) != MD5(NONKEY_FIELD_CURR) ,'U',_x000D_
(NOT ISNULL(KEY_FIELD_PREV))  AND ISNULL(KEY_FIELD_CURR),'D','')",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,LKP_Archive,decimal,NO,26,0,,,,,YES,,,,,,"IIF(var_DTL_ACTION='D', :LKP.LKP_ARC_TSTCALL_TRK(v_calr_id,v_call_dt), NULL)",,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,KEY_FIELD_FIRST,string,NO,9,0,,,YES,,,,,,,,"SUBSTR(IIF(var_DTL_ACTION = 'D',KEY_FIELD_PREV,KEY_FIELD_CURR),1,9)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,NONKEY_FIELD_FIRST,string,NO,9,0,,,YES,,,,,,,,"SUBSTR(IIF(var_DTL_ACTION = 'D',NONKEY_FIELD_PREV,NONKEY_FIELD_CURR),1,9)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,KEY_FIELD_SECOND,string,NO,26,0,,,YES,,,,,,,,"SUBSTR(IIF(var_DTL_ACTION = 'D',KEY_FIELD_PREV,KEY_FIELD_CURR),10,26)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,NONKEY_FIELD_SECOND,string,NO,358,0,,,YES,,,,,,,,"SUBSTR(IIF(var_DTL_ACTION = 'D',NONKEY_FIELD_PREV,NONKEY_FIELD_CURR),10,358)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,KEY_FIELD_THIRD,string,NO,12,0,,,YES,,,,,,,,"SUBSTR(IIF(var_DTL_ACTION = 'D',KEY_FIELD_PREV,KEY_FIELD_CURR),36,12)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,NONKEY_FIELD_THIRD,string,NO,411,0,,,YES,,,,,,,,"SUBSTR(IIF(var_DTL_ACTION = 'D',NONKEY_FIELD_PREV,NONKEY_FIELD_CURR),368,411)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk,DTL_ACTION,string,NO,1,0,,,YES,,,,,,,,"IIF(var_DTL_ACTION='D' AND NOT ISNULL(LKP_Archive), 'N', var_DTL_ACTION)",,,,ERROR('transformation error'),,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_id,decimal,NO,9,0,,,YES,,,YES,YES,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,i_calr_id,decimal,NO,9,0,,YES,,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,apl_tin,string,NO,9,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,call_dt,date/time,NO,29,9,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,i_call_dt,date/time,NO,29,9,,YES,,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,cust_id,string,NO,10,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_lst_nm,string,NO,30,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_frst_nm,string,NO,20,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_mid_nm,string,NO,1,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_cntry_cd,string,NO,3,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_area_cd,string,NO,3,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_xchg_cd,string,NO,3,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_ln_cd,string,NO,4,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_ext_cd,string,NO,5,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_ctgy_cd,string,NO,8,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,call_typ_cd,string,NO,8,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,cust_met_crrs_id,string,NO,40,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,rslv_dt,date/time,NO,29,9,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,loc_call_recd_cd,string,NO,8,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,call_dtls_txt_cd,string,NO,8,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,call_trk_cust_name,string,NO,50,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,crt_id,string,NO,15,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,crt_ts,date/time,NO,29,9,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,updt_id,string,NO,15,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,updt_ts,date/time,NO,29,9,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,rplc_svr_del_ind,string,NO,1,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,rplc_svr_own_id,small integer,NO,5,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,rplc_svr_updt_ts,date/time,NO,29,9,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Unconnected Lookup,LKP_arc_tstcall_trk,calr_intl_num,string,NO,18,0,,,,,,YES,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Joiner,JNR_tstcall_trk,KEY_FIELD_PREV,string,NO,47,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Joiner,JNR_tstcall_trk,NONKEY_FIELD_PREV,string,NO,778,0,,YES,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Joiner,JNR_tstcall_trk,KEY_FIELD_CURR,string,NO,47,0,,YES,YES,,,,,,,,,,,YES,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Joiner,JNR_tstcall_trk,NONKEY_FIELD_CURR,string,NO,778,0,,YES,YES,,,,,,,,,,,YES,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_id,number,NO,9,0,1.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,apl_tin,string,NO,9,0,2.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,call_dt,string,NO,26,0,3.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,cust_id,string,NO,10,0,4.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_lst_nm,string,NO,30,0,5.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_frst_nm,string,NO,20,0,6.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_mid_nm,string,NO,1,0,7.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_cntry_cd,string,NO,3,0,8.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_area_cd,string,NO,3,0,9.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_xchg_cd,string,NO,3,0,10.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_ln_cd,string,NO,4,0,11.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_ext_cd,string,NO,5,0,12.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,calr_ctgy_cd,string,NO,8,0,13.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,call_typ_cd,string,NO,8,0,14.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,cust_met_crrs_id,string,NO,39,0,15.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,rslv_dt,string,NO,26,0,16.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,loc_call_recd_cd,string,NO,8,0,17.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,call_dtls_txt_cd,string,NO,8,0,18.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,call_trk_cust_name,string,NO,50,0,19.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,crt_id,string,NO,15,0,20.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,crt_ts,string,NO,26,0,21.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,updt_id,string,NO,15,0,22.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Target Definition,Member_Diary_Active_ff,updt_ts,string,NO,26,0,23.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
